x_coord,y_coord,spl_code,Plant_ID,ipen,match_name,ott_id,rank,wikidataID,unknown,UUID,Airtable
2578478.185,1182399.543,DBGI_SPL_000532,Chimonanthus praecox (L.) Link,XX 0 FRIBG 20080447,Chimonanthus praecox,"324777",species,http://www.wikidata.org/entity/Q2566375,,{d518e6df-4960-45ed-bc84-a842cb30d731},
2578479.571,1182399.009,DBGI_SPL_000401,Calycanthus chinensis (W.C. Cheng et S.Y. Chang) P.T. Li,XX 0 FRIBG 20040554,Calycanthus chinensis,"913239",species,http://www.wikidata.org/entity/Q11739000,,{fd0f9c96-4af6-4fd9-bd8b-3fd2cf75d83f},
2578477.010,1182397.530,DBGI_SPL_000463,Asimina triloba (L.) Dunal 'Sunflower',XX 0 FRIBG 20140306,Asimina triloba,"709969",species,http://www.wikidata.org/entity/Q948827,,{8fc438e8-4303-45aa-b06e-2cc1a5339549},
2578480.098,1182397.038,DBGI_SPL_000526,Calycanthus fertilis Walter s.l.,XX 0 FRIBG 20030566,Calycanthus fertilis,"890686",species,http://www.wikidata.org/entity/Q165416,,{cee9f8b7-c49f-4145-bb2f-ff7ee4fcb419},
2578478.501,1182394.512,DBGI_SPL_000445,Aaunknown,,,"0",,,sassafras albidum selon panneau,{d013561d-4c27-40c7-99c6-9c0e7ebbd9e4},
2578481.900,1182394.322,DBGI_SPL_000431,Schisandra chinensis (Turcz.) Baill. mono�que,XX 0 FRIBG 20150335,,"0",,,,{a7d14dc1-3a3e-4e49-b74e-2307c97ba5fa},
2578484.824,1182391.290,DBGI_SPL_000531,Saruma henryi Oliv.,XX 0 FRIBG 20160088,Saruma henryi,"382276",species,http://www.wikidata.org/entity/Q1027731,,{6bf3e605-c904-4727-bbef-16448695d864},
2578485.181,1182390.673,DBGI_SPL_000400,Asarum caudatum Lindl.,XX 0 FRIBG 19910363,Asarum caudatum,"513165",species,http://www.wikidata.org/entity/Q4803629,,{ee3192b8-8c54-4653-aa13-ba1260244ae8},
2578484.354,1182390.633,DBGI_SPL_000538,Aristolochia rotunda L.,XX 0 STGAL 77,Aristolochia rotunda,"1017836",species,http://www.wikidata.org/entity/Q2861412,,{591325e0-10c8-41fd-af90-87cb879fe20c},
2578469.741,1182405.227,DBGI_SPL_000530,Aaunknown,,,"0",,,iris pallida subsp illyrica,{f7313ea1-229a-4e4a-a5f3-126f85f8c118},
2578469.897,1182404.866,DBGI_SPL_000529,Iris pallida Lam.,XX 0 FRIBG 20031174,Iris pallida,"259588",species,http://www.wikidata.org/entity/Q161347,,{292c3466-0d70-46c8-ae14-24c967fc8121},
2578470.090,1182404.370,DBGI_SPL_000384,Iris x germanica L.,XX 0 FRIBG 10001420,Iris haynei,"472928",species,,,{1e08558c-a349-4262-8eb6-c9752e16109b},
2578470.287,1182403.509,DBGI_SPL_000564,Iris kochii Stapf,XX 0 FRIBG 20031173,Iris kochii,"7582479",species,,,{8723f42c-28c8-4a42-a290-a97422f5ef69},
2578470.462,1182403.122,DBGI_SPL_000495,Iris lactea Pall. fo. lactea,KZ 0 BONN 33836,Androsace lactea,"829472",species,,,{ca69271d-add3-44ff-8040-856c607f1873},
2578470.064,1182403.006,DBGI_SPL_000527,Iris foetidissima L.,FR 0 FRIBG 20190106,Iris foetidissima,"42054",species,http://www.wikidata.org/entity/Q2484930,,{dacb15d6-a901-49c1-ae3c-6f0e1e3b4454},
2578470.859,1182402.298,DBGI_SPL_000436,Iris spuria L. subsp. spuria,XX 0 FRIBG 20031176,Iris sintenisii,"338404",species,,,{3fefcbd4-8d89-4532-972c-1a473ad5dece},
2578470.201,1182402.215,DBGI_SPL_000541,Iris crocea R.C. Foster,XX 0 FRIBG 19970587,Iris crocea,"3998472",species,http://www.wikidata.org/entity/Q15569556,,{0a1256bd-e4ed-41bc-8295-a9300ded46a1},
2578471.232,1182401.632,DBGI_SPL_000565,Iris forrestii Dykes,CN 0 FRIBG 20040365,Iris forrestii,"64952",species,,,{4327eb49-62e7-44ba-9407-4f52d23fdbd3},
2578470.673,1182401.350,DBGI_SPL_000542,Iris sibirica L.,XX 0 FRIBG 10002865,Iris sibirica,"43087",species,http://www.wikidata.org/entity/Q145686,,{f915a010-de1b-48b9-9f22-e4d191136c40},
2578471.435,1182401.015,DBGI_SPL_000397,Iris lutescens Lam.,XX 0 FRIBG 20080132,Iris lutescens,"165869",species,,,{c2f451b3-ec0d-4f33-9279-859918693aa5},
2578470.822,1182400.584,DBGI_SPL_000435,Iris tectorum Maxim.,XX 0 FRIBG 20031178,Iris tectorum,"724757",species,http://www.wikidata.org/entity/Q1023515,,{38157066-8822-448c-a478-f92be2a833f7},
