ipen;idTaxon;secteur;matched_name;Inventaire FRIBG;taxon.ott_id;ott_id;rank;wikidataId;wd_taxa_qid
XX 0 FRIBG 10003160;Begonia x reichenheimii G. Bartsch;Serre 4;Begonia;begonia.;530190;530190;genus;http://www.wikidata.org/entity/Q158617;Q158617
XX 0 FRIBG 20060473;Belamcanda chinensis (L.) DC.;G‚ophytes;Belamcanda chinensis;belamcanda chinensis;740491;740491;species;http://www.wikidata.org/entity/Q1190377;Q1190377
XX 0 FRIBG 19920143;Bellevalia romana (L.) Sweet;G‚ophytes;Bellevalia romana;bellevalia romana;684544;684544;species;http://www.wikidata.org/entity/Q2202444;Q2202444
XX 0 FRIBG 10000713;Bellis perennis L.;Syst‚¨me 1;Bellis perennis;bellis perennis;792843;792843;species;http://www.wikidata.org/entity/Q26158;Q26158
XX 0 FRIBG 10002531;Bellis perennis L.;M‚dicinal;Bellis perennis;bellis perennis;792843;792843;species;http://www.wikidata.org/entity/Q26158;Q26158
XX 0 FRIBG 10000714;Bellis perennis L. 'Flora Plena';Syst‚¨me 1;Bellis perennis;bellis perennis;792843;792843;species;http://www.wikidata.org/entity/Q26158;Q26158
XX 0 FRIBG 19970283;Bellium bellidioides L.;Pl. m‚dit.;Bellium bellidioides;bellium bellidioides;221943;221943;species;http://www.wikidata.org/entity/Q1281180;Q1281180
XX 0 FRIBG 19910386;Berberis buxifolia Poir.;Place du bouleau;Berberis buxifolia;berberis buxifolia;365000;365000;species;http://www.wikidata.org/entity/Q22111300;Q22111300
XX 0 FRIBG 10000716;Berberis candidula (C.K. Schneid.) C.K. Schneid.;Syst‚¨me 3;Berberis candidula;berberis candidula;803526;803526;species;http://www.wikidata.org/entity/Q1788468;Q1788468
XX 0 FRIBG 10000719;Berberis gagnepaini C.K.Schneid.;Syst‚¨me 3;Berberis vulgaris;berberis vulgaris;996604;996604;species;http://www.wikidata.org/entity/Q158563;Q158563
XX O FRIBG 19900106;Berberis stenophylla Lindl.;Syst‚¨me 3;Berberis stenophylla;berberis stenophylla;6129769;6129769;species;http://www.wikidata.org/entity/Q104978118;Q104978118
