fid,Plant_ID,spl_code,Airtable,unknown,x_coord,y_coord,UUID
"80",Pinus mugo subsp. uncinata (DC.) Domin,DBGI_SPL_000420,,,2578491.381,1182392.806,{51983b57-b9e5-4aab-a6c4-d49b957f5b6d}
"81",Abies koreana E.H. Wilson,DBGI_SPL_000496,,,2578492.784,1182391.159,{14a829f0-4c89-45ec-bfb5-a0401593c6ac}
"82",Picea omorika (Pancic) Purk.,DBGI_SPL_000414,,,2578494.419,1182392.354,{dfbabab5-af56-4581-ac80-d1db65ef8457}
"83",Cephalotaxus harringtonii (J. Forbes) K. Koch,DBGI_SPL_000432,,,2578496.084,1182393.811,{16a6656e-3560-4dc7-9256-c1c7259824db}
"84",Juniperus communis L. subsp. communis,DBGI_SPL_000399,,,2578497.868,1182391.718,{8c5ef70c-fde8-4143-a5b7-4ae6fe28f73c}
"85",Podocarpus nivalis Hook.,DBGI_SPL_000422,,,2578494.142,1182389.502,{9580ce90-12a5-42db-9eed-8ccbe8c8da52}
"86",Taxus baccata L. femelle,DBGI_SPL_000444,,,2578496.583,1182388.843,{f0a1b63c-95b9-4c02-bae4-69e68f69489e}
"87",Cupressus sempervirens L.,DBGI_SPL_000489,,,2578499.034,1182390.265,{0eac2763-fd05-4ccd-90ea-f067d617d47a}
"88",Sciadopitys verticillata (Thunb.) Siebold & Zucc.,DBGI_SPL_000411,,,2578499.95031983,1182387.80314272,{189b00fa-9e35-4a0d-837e-d19de44ec441}
"89",Ephedra fragilis Desf. s.l. Femelle,DBGI_SPL_000484,,,2578501.104,1182386.567,{0d573a8e-d9db-4c81-9072-3fe2fe190843}
"90",Catalpa ovata G. Don,DBGI_SPL_000423,,,2578486.305,1182397.448,{2c9fc3c9-3f73-422a-a2bb-e984acdbd454}
"91",Asplenium adiantum-nigrum L.,DBGI_SPL_000488,,,2578488.536,1182395.361,{4e14e1c0-a0c8-4d3e-ba8c-82e0b27416af}
"92",Phyllitis scolopendrium (L.) Newman,DBGI_SPL_000396,,,2578487.856,1182395.889,{e70eb05d-d76a-4495-bf46-159b06b46bd1}
"93",Athyrium filix-femina (L.) Roth,DBGI_SPL_000467,,,2578487.611,1182395.5,{6e6d527c-58cd-49af-a5e4-b93a7411d963}
"94",Dryopteris affinis (Lowe) Fraser-Jenk.,DBGI_SPL_000455,,,2578487.045,1182394.783,{830a74d8-cb09-445b-86f0-3b022b31735d}
"95",Dryopteris dilatata (Hoffm.) A. Gray,DBGI_SPL_000421,,,2578487.795,1182394.373,{3ad5ca05-0551-49b7-83b9-53e8bdc52764}
"96",Dryopteris filix-mas (L.) Schott,DBGI_SPL_000415,,,2578486.664,1182394.234,{22b3b237-7a9e-4082-a014-d9d44bb20c87}
"97",Polystichum aculeatum (L.) Roth,DBGI_SPL_000473,,,2578487.357,1182393.64,{7921147f-2fa6-44d6-b785-8f2569ac8c13}
"98",Magnolia liliiflora Desr. 'Nigra',DBGI_SPL_000535,,,2578473.768,1182403.415,{f05c6598-e2ee-4d0c-8042-c6543767ccd7}
"99",Nymphaea alba L.,DBGI_SPL_000464,,,2578476.953,1182401.712,{7a45dbfe-2c54-40da-9681-0dc174a95709}
"100",Magnolia stellata (Siebold et Zucc.) Maxim. 'Royal Star',DBGI_SPL_000536,,,2578475.068,1182400.395,{a4fe1472-be13-4ce2-ad4f-0ff2b646d9f4}
"101",Chimonanthus praecox (L.) Link,DBGI_SPL_000532,,,2578478.185,1182399.543,{d518e6df-4960-45ed-bc84-a842cb30d731}
"102",Calycanthus chinensis (W.C. Cheng et S.Y. Chang) P.T. Li,DBGI_SPL_000401,,,2578479.571,1182399.009,{fd0f9c96-4af6-4fd9-bd8b-3fd2cf75d83f}
"103",Asimina triloba (L.) Dunal 'Sunflower',DBGI_SPL_000463,,,2578477.01,1182397.53,{8fc438e8-4303-45aa-b06e-2cc1a5339549}
"104",Calycanthus fertilis Walter s.l.,DBGI_SPL_000526,,,2578480.098,1182397.038,{cee9f8b7-c49f-4145-bb2f-ff7ee4fcb419}
"105",,DBGI_SPL_000445,,sassafras albidum selon panneau,2578478.5011845,1182394.51240487,{93b2399d-35a0-4649-abeb-234b19793854}
"106",Schisandra chinensis (Turcz.) Baill. mono¯que,DBGI_SPL_000431,,,2578481.89980214,1182394.32199181,{c4420568-2f52-41dc-bce7-834713a380c1}
"107",Saruma henryi Oliv.,DBGI_SPL_000531,,,2578484.824,1182391.29,{6bf3e605-c904-4727-bbef-16448695d864}
"108",Asarum caudatum Lindl.,DBGI_SPL_000400,,,2578485.181,1182390.673,{ee3192b8-8c54-4653-aa13-ba1260244ae8}
"109",Aristolochia rotunda L.,DBGI_SPL_000538,,,2578484.354,1182390.633,{591325e0-10c8-41fd-af90-87cb879fe20c}
"110",,DBGI_SPL_000530,,iris pallida subsp illyrica,2578469.74126913,1182405.22707771,{4e68b106-9d74-45de-bd6c-f0b23a1d9dd4}
"111",Iris pallida Lam.,DBGI_SPL_000529,,,2578469.897,1182404.866,{292c3466-0d70-46c8-ae14-24c967fc8121}
"112",Iris x germanica L.,DBGI_SPL_000384,,,2578470.09,1182404.37,{1e08558c-a349-4262-8eb6-c9752e16109b}
"113",Iris kochii Stapf,DBGI_SPL_000564,,,2578470.287,1182403.509,{8723f42c-28c8-4a42-a290-a97422f5ef69}
"114",Iris lactea Pall. fo. lactea,DBGI_SPL_000495,,,2578470.462,1182403.122,{ca69271d-add3-44ff-8040-856c607f1873}
"115",Iris foetidissima L.,DBGI_SPL_000527,,,2578470.064,1182403.006,{dacb15d6-a901-49c1-ae3c-6f0e1e3b4454}
"116",Iris spuria L. subsp. spuria,DBGI_SPL_000436,,,2578470.859,1182402.298,{3fefcbd4-8d89-4532-972c-1a473ad5dece}
"117",Iris crocea R.C. Foster,DBGI_SPL_000541,,,2578470.201,1182402.215,{0a1256bd-e4ed-41bc-8295-a9300ded46a1}
"118",Iris forrestii Dykes,DBGI_SPL_000565,,,2578471.232,1182401.632,{4327eb49-62e7-44ba-9407-4f52d23fdbd3}
"119",Iris sibirica L.,DBGI_SPL_000542,,,2578470.673,1182401.35,{f915a010-de1b-48b9-9f22-e4d191136c40}
"120",Iris lutescens Lam.,DBGI_SPL_000397,,,2578471.435,1182401.015,{c2f451b3-ec0d-4f33-9279-859918693aa5}
"121",Iris tectorum Maxim.,DBGI_SPL_000435,,,2578470.822,1182400.584,{38157066-8822-448c-a478-f92be2a833f7}
"122",Sisyrinchium patagonicum Phil.,DBGI_SPL_000537,,,2578471.737,1182400.269,{e1268e97-b6d2-497c-9928-1c6978c9122c}
"123",,DBGI_SPL_000533,,iris missouriensis,2578471.16979747,1182399.94645292,{e0d7ba26-7b48-4440-a4cc-2a28234c1bda}
"124",Lilium regale E.H. Wilson,DBGI_SPL_000408,,,2578473.798,1182394.875,{2a502b28-8ade-4b84-826e-8032d1c10c41}
"125",Baldellia ranunculoides (L.) Parl.,DBGI_SPL_000398,,,2578478.724,1182388.459,{fa75ae67-f308-4c93-afdf-e86686e5ea65}
"126",Sagittaria sagittifolia L.,DBGI_SPL_000417,,,2578478.194,1182387.983,{0f907d19-80f0-441f-8e70-1226f7f0cc2d}
"127",Arum italicum Mill.,DBGI_SPL_000392,,,2578479.911,1182386.349,{d209d757-c946-45c5-8efe-70a6b8fbede8}
"128",Canna x generalis L.H. Bailey et E.Z. Bailey,DBGI_SPL_000520,,,2578479.474,1182384.149,{f80dbf22-6c45-41c8-a95e-da7dea9167cf}
"129",Musa basjoo Iinuma,DBGI_SPL_000419,,,2578477.987,1182385.529,{09d77635-c3c1-4abb-ba3d-dde31cae561b}
"130",Tradescantia virginiana L.,DBGI_SPL_000409,,,2578477.068,1182386.797,{180f3a0e-15a9-4db4-bbf9-21cc714a22b2}
"131",Chamaerops humilis L.,DBGI_SPL_000407,,,2578475.812,1182387.751,{d4f0392c-fdf8-44f8-8020-5291f00ed490}
"132",Hosta sieboldiana (Hook.) Engl. var. sieboldiana,DBGI_SPL_000534,,,2578474.765,1182389.146,{6a7b636a-5784-4a77-8217-bbc8802b6843}
"133",Muscari neglectum Ten.,DBGI_SPL_000433,,,2578473.463,1182392.139,{0ea4ec07-d2f4-403b-86a3-37b81016177d}
"134",Ornithogalum viridiflorum (I.Verd.) J.C.Manning  Goldblatt,DBGI_SPL_000418,,,2578472.731,1182392.27,{7ccf68a7-9702-438c-bbfe-0caacffb0af2}
"135",Ornithogalum regale (Hilliard et B.L. Burtt) J.C. Manning et Goldblatt,DBGI_SPL_000429,,,2578473.237,1182392.557,{50bffe71-1d67-49df-8b9e-041a7f8ff684}
"136",Asparagus officinalis L.,DBGI_SPL_000486,,,2578472.391,1182393.395,{08047bfc-729a-4ee4-874f-3e0f057e0370}
"137",Allium tuberosum Spreng.,DBGI_SPL_000540,,,2578471.374,1182394.806,{8cf11a71-11f3-4d7b-a79e-960f9b79d52a}
"138",Allium fistulosum L.,DBGI_SPL_000388,,,2578471.597,1182395.234,{a1a359e3-74c5-4aeb-a34b-81f57bf72b8d}
"139",Allium x proliferum (Moench) Willd.,DBGI_SPL_000539,,,2578471.15,1182396.572,{fc5eac45-ab8d-4a58-bf8b-809a8d53749f}
"140",Allium porrum L.,DBGI_SPL_000385,,,2578470.279,1182396.884,{140f15cf-0fa3-423f-9079-3bcdf77cc7f1}
"141",Allium insubricum Boiss. et Reut.,DBGI_SPL_000478,,,2578470.532,1182397.405,{1a26164f-f5e2-44c2-be9d-5a7127909302}
"142",Tulbaghia violacea Harv.,DBGI_SPL_000472,,,2578470.084,1182397.322,{3cb687f6-cc92-4be4-87f4-c791d9051526}
"143",Kniphofia ensifolia Baker s.l.,DBGI_SPL_000566,,,2578468.692,1182399.926,{f65f6cad-718a-4534-9218-5932ff7e394a}
"144",Bulbine semibarbata (R. Br.) Haw.,DBGI_SPL_000416,,,2578468.4,1182400.651,{2082f709-bf6c-45d9-a2bd-80e5b7b20149}
"145",Asphodelus ramosus L. subsp. ramosus,DBGI_SPL_000889,,,2578468.646,1182401.897,{8f5b2978-1966-47c7-9a65-58bf09ef1485}
"146",Hemerocallis fulva (L.) L.,DBGI_SPL_000896,,,2578467.434,1182403.515,{e90b6c09-1cc9-4147-a9b7-fc3a8b5e52cc}
"147",Gladiolus murielae Kelway,DBGI_SPL_000893,,,2578467.787,1182405.085,{f60a39fb-b48c-494f-aaa1-0735150f2bf0}
